Polynomial Kernel
Value: 0.0001, K: 1, C:0.001, PCA 6: minDCF: 0.5139139344262296
Value: 0.0001, K: 1, C:0.001, PCA 8: minDCF: 0.5157991803278689
Value: 0.0001, K: 1, C:0.001, PCA None: minDCF: 0.5136065573770492
Value: 0.0001, K: 1, C:0.01, PCA 6: minDCF: 0.5139139344262296
Value: 0.0001, K: 1, C:0.01, PCA 8: minDCF: 0.5157991803278689
Value: 0.0001, K: 1, C:0.01, PCA None: minDCF: 0.5136065573770492
Value: 0.0001, K: 1, C:0.1, PCA 6: minDCF: 0.5589344262295082
Value: 0.0001, K: 1, C:0.1, PCA 8: minDCF: 0.5689344262295082
Value: 0.0001, K: 1, C:0.1, PCA None: minDCF: 0.5610245901639345

Process finished with exit code 0
